ID	X	Y	DATA1	DATA2	DATA3	ISZONE	ISINTERSEC	LABEL	F_gate	F_ntyp	geometry
952110	843.9189999999999827	7544.1620000000002619	0.0000000000000000	25.0000000000000000	0.8200000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(843.919 7544.162)
952111	852.1770000000000209	7560.6059999999997672	0.0000000000000000	25.0000000000000000	0.1100000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(852.177 7560.606)
952112	830.1470000000000482	7533.5150000000003274	0.0000000000000000	25.0000000000000000	1.0900000000000001	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(830.147 7533.515)
952113	852.5519999999997935	7437.3609999999998763	0.0000000000000000	25.0000000000000000	0.0500000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(852.552 7437.361)
952114	821.7790000000001100	7436.0169999999998254	0.0000000000000000	25.0000000000000000	4.2399997999999997	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(821.779 7436.017)
952115	836.9049999999999727	7445.7719999999999345	0.0000000000000000	25.0000000000000000	0.8000000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(836.905 7445.772)
952116	856.5580000000001064	7445.3029999999998836	0.0000000000000000	25.0000000000000000	0.1900000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(856.558 7445.303)
952117	847.5389999999998736	7429.8440000000000509	0.0000000000000000	25.0000000000000000	0.2500000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(847.539 7429.844)
952119	814.6669999999998026	7456.9510000000000218	0.0000000000000000	25.0000000000000000	0.1500000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(814.667 7456.951)
952120	810.6920000000000073	7486.4179999999996653	0.0000000000000000	25.0000000000000000	0.7200000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(810.692 7486.418)
952123	820.8279999999999745	7498.5270000000000437	0.0000000000000000	25.0000000000000000	0.3600000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(820.828 7498.527)
952124	826.4379999999998745	7506.5399999999999636	0.0000000000000000	25.0000000000000000	1.1799999000000001	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(826.438 7506.54)
952125	834.9269999999999072	7524.6480000000001382	0.0000000000000000	25.0000000000000000	1.2400000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(834.927 7524.648)
952126	825.8429999999998472	7488.8050000000002910	0.0000000000000000	25.0000000000000000	0.5200000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(825.843 7488.805)
952127	829.2559999999999718	7470.4750000000003638	0.0000000000000000	25.0000000000000000	0.1100000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(829.256 7470.475)
952128	826.1150000000000091	7451.5839999999998327	0.0000000000000000	25.0000000000000000	0.6000000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(826.115 7451.584)
952301	773.1980000000000928	7450.9849999999996726	0.0000000000000000	25.0000000000000000	0.9600000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(773.198 7450.985)
952304	746.5409999999999400	7478.9870000000000800	0.0000000000000000	25.0000000000000000	0.3569770000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(746.541 7478.987)
952305	786.8499999999999091	7437.0249999999996362	0.0000000000000000	25.0000000000000000	0.2400000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(786.85 7437.025)
952306	745.8209999999999127	7462.4030000000002474	0.0000000000000000	25.0000000000000000	0.8136890000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(745.821 7462.403)
952307	743.8959999999999582	7460.2709999999997308	0.0000000000000000	25.0000000000000000	1.4266700000000001	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(743.896 7460.271)
952308	764.6200000000000045	7417.0910000000003492	0.0000000000000000	25.0000000000000000	0.3900000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(764.62 7417.091)
952309	784.7690000000000055	7471.5889999999999418	0.0000000000000000	25.0000000000000000	0.3100000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(784.769 7471.589)
952310	806.4840000000000373	7390.9970000000002983	0.0000000000000000	25.0000000000000000	9.2968197000000004	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(806.484 7390.997)
952311	761.1990000000000691	7493.1059999999997672	0.0000000000000000	25.0000000000000000	0.5600000000000001	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(761.199 7493.106)
952312	796.3969999999999345	7449.4449999999997090	0.0000000000000000	25.0000000000000000	0.7100000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(796.397 7449.445)
952313	677.3209999999999127	7524.1360000000004220	0.0000000000000000	25.0000000000000000	7.0799998999999998	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(677.321 7524.136)
952314	745.3009999999999309	7457.6639999999997599	0.0000000000000000	25.0000000000000000	0.0900000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(745.301 7457.664)
952321	741.5860000000000127	7457.2730000000001382	0.0000000000000000	25.0000000000000000	0.3100000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(741.586 7457.273)
952322	758.8919999999999391	7451.8689999999996871	0.0000000000000000	25.0000000000000000	2.7500000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(758.892 7451.869)
956001	759.0700000000000500	7297.3000000000001819	0.0000000000000000	25.0000000000000000	0.1300000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(759.07 7297.3)
956002	775.1449999999999818	7297.4210000000002765	0.0000000000000000	25.0000000000000000	1.0172600000000001	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(775.145 7297.421)
956003	776.7710000000000719	7296.7520000000004075	0.0000000000000000	25.0000000000000000	0.2996580000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(776.771 7296.752)
956004	776.1100000000000136	7296.7039999999997235	0.0000000000000000	25.0000000000000000	0.1300000000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(776.11 7296.704)
956005	774.8439999999999372	7296.2049999999999272	0.0000000000000000	25.0000000000000000	0.5862300000000000	1	0	0000	0.0000000000000000	6.0000000000000000	POINT(774.844 7296.205)
