i;j;@gate
204490;958091;-958091
958091;204490;958091
204504;958075;-958075
958075;204504;958075
204513;958095;-958095
958095;204513;958095
204517;958073;-958073
958073;204517;958073
204518;958081;-958081
958081;204518;958081
204518;958083;-958083
958083;204518;958083
204521;958020;-958020
958020;204521;958020
204548;958013;-958013
958013;204548;958013
204551;958020;-958020
958020;204551;958020
204572;958023;-958023
958023;204572;958023
204572;958059;-958059
958059;204572;958059
204574;958095;-958095
958095;204574;958095
204581;958095;-958095
958095;204581;958095
204583;958013;-958013
958013;204583;958013
204586;958095;-958095
958095;204586;958095
204600;958006;-958006
958006;204600;958006
204600;958027;-958027
958027;204600;958027
204610;958023;-958023
958023;204610;958023
204610;958059;-958059
958059;204610;958059
204613;958006;-958006
958006;204613;958006
204625;958067;-958067
958067;204625;958067
204628;958068;-958068
958068;204628;958068
204644;958069;-958069
958069;204644;958069
204652;958069;-958069
958069;204652;958069
204658;958054;-958054
958054;204658;958054
204675;958054;-958054
958054;204675;958054
204695;958054;-958054
958054;204695;958054
204769;958048;-958048
958048;204769;958048
204776;958048;-958048
958048;204776;958048
204908;958057;-958057
958057;204908;958057
204928;958057;-958057
958057;204928;958057
204952;958089;-958089
958089;204952;958089
204957;958089;-958089
958089;204957;958089
205097;958090;-958090
958090;205097;958090
205179;958090;-958090
958090;205179;958090
205394;958052;-958052
958052;205394;958052
205402;958052;-958052
958052;205402;958052
205454;958052;-958052
958052;205454;958052
205532;958034;-958034
958034;205532;958034
205831;958047;-958047
958047;205831;958047
205863;958047;-958047
958047;205863;958047
206283;958088;-958088
958088;206283;958088
208387;958055;-958055
958055;208387;958055
400400;958060;-958060
958060;400400;958060
400401;958009;-958009
958009;400401;958009
400401;958010;-958010
958010;400401;958010
400401;958012;-958012
958012;400401;958012
400401;958060;-958060
958060;400401;958060
400403;958009;-958009
958009;400403;958009
400404;958043;-958043
958043;400404;958043
400405;958043;-958043
958043;400405;958043
400408;958058;-958058
958058;400408;958058
400409;958058;-958058
958058;400409;958058
400411;958056;-958056
958056;400411;958056
400412;958014;-958014
958014;400412;958014
400412;958022;-958022
958022;400412;958022
400413;958022;-958022
958022;400413;958022
400414;958027;-958027
958027;400414;958027
400414;958042;-958042
958042;400414;958042
400415;958042;-958042
958042;400415;958042
400418;958014;-958014
958014;400418;958014
400418;958058;-958058
958058;400418;958058
400420;958001;-958001
958001;400420;958001
400420;958019;-958019
958019;400420;958019
400421;958044;-958044
958044;400421;958044
400422;958044;-958044
958044;400422;958044
400423;958019;-958019
958019;400423;958019
400425;958001;-958001
958001;400425;958001
400426;958092;-958092
958092;400426;958092
400427;958092;-958092
958092;400427;958092
400428;958017;-958017
958017;400428;958017
400429;958084;-958084
958084;400429;958084
400430;958015;-958015
958015;400430;958015
400430;958017;-958017
958017;400430;958017
400432;958017;-958017
958017;400432;958017
400432;958055;-958055
958055;400432;958055
400432;958084;-958084
958084;400432;958084
400433;958018;-958018
958018;400433;958018
400433;958084;-958084
958084;400433;958084
400435;958018;-958018
958018;400435;958018
400436;958002;-958002
958002;400436;958002
400437;958002;-958002
958002;400437;958002
400438;958045;-958045
958045;400438;958045
400439;958035;-958035
958035;400439;958035
400439;958045;-958045
958045;400439;958045
400439;958096;-958096
958096;400439;958096
400440;958038;-958038
958038;400440;958038
400441;958035;-958035
958035;400441;958035
400441;958038;-958038
958038;400441;958038
400444;958096;-958096
958096;400444;958096
400446;958066;-958066
958066;400446;958066
400447;958066;-958066
958066;400447;958066
400448;958053;-958053
958053;400448;958053
400449;958053;-958053
958053;400449;958053
400450;958039;-958039
958039;400450;958039
400450;958072;-958072
958072;400450;958072
400450;958093;-958093
958093;400450;958093
400451;958039;-958039
958039;400451;958039
400451;958072;-958072
958072;400451;958072
400452;958072;-958072
958072;400452;958072
400455;958025;-958025
958025;400455;958025
400456;958025;-958025
958025;400456;958025
400457;958074;-958074
958074;400457;958074
400457;958075;-958075
958075;400457;958075
400458;958067;-958067
958067;400458;958067
400459;958067;-958067
958067;400459;958067
400462;958068;-958068
958068;400462;958068
400463;958020;-958020
958020;400463;958020
400466;958029;-958029
958029;400466;958029
400466;958070;-958070
958070;400466;958070
400466;958071;-958071
958071;400466;958071
400467;958070;-958070
958070;400467;958070
400468;958071;-958071
958071;400468;958071
400469;958031;-958031
958031;400469;958031
400469;958071;-958071
958071;400469;958071
400471;958031;-958031
958031;400471;958031
400471;958032;-958032
958032;400471;958032
400472;958033;-958033
958033;400472;958033
400473;958032;-958032
958032;400473;958032
400473;958033;-958033
958033;400473;958033
400475;958065;-958065
958065;400475;958065
400477;958016;-958016
958016;400477;958016
400479;958007;-958007
958007;400479;958007
400479;958008;-958008
958008;400479;958008
400480;958082;-958082
958082;400480;958082
400481;958082;-958082
958082;400481;958082
400483;958063;-958063
958063;400483;958063
